season,team,source_name,rank,adjoe,adjde,adj_em,barthag,sos_adj,luck,wab
2020,Memphis Tigers,Memphis,63,100.1396,89.2292,10.9104,0.790279,0.622143,0.045867,-0.0076
2020,Northern Iowa,Northern Iowa,64,111.8557,99.8199,12.0359,0.787378,0.507492,0.071568,0.8896
2020,Rhode Island,Rhode Island,65,105.007,94.0721,10.9349,0.779818,0.611822,0.071856,0.4723
2020,San Francisco Dons,San Francisco,66,108.1375,96.9701,11.1674,0.777907,0.563325,-0.018488,-2.3967
2020,VCU Rams,VCU,67,104.8576,94.0589,10.7987,0.777272,0.592791,-0.060202,-3.5976
2020,Texas Longhorns,Texas,68,103.3307,92.7394,10.5913,0.776195,0.701267,0.092461,0.994
2020,North Texas Mean Green,North Texas,69,111.5777,100.3213,11.2563,0.77258,0.51748,-0.056523,-3.4832
2020,Davidson Wildcats,Davidson,70,113.0764,101.6708,11.4056,0.772543,0.588496,-0.103562,-5.0343
2020,UCLA Bruins,UCLA,71,109.5887,98.6003,10.9884,0.771198,0.643355,0.03175,-1.0403
2020,Clemson Tigers,Clemson,72,103.8389,93.4682,10.3707,0.770303,0.683882,-0.033017,-3.2826
2020,Louisiana Tech Bulldogs,Louisiana Tech,73,108.5472,97.7145,10.8327,0.770131,0.445251,-0.010146,-1.7722
2020,Yale Bulldogs,Yale,74,107.8156,97.7701,10.0456,0.754869,0.467509,0.054434,-0.3709
2020,Tulsa Golden Hurricane,Tulsa,75,102.1844,92.6971,9.4873,0.754097,0.580363,0.048033,-0.9774
2020,Georgetown Hoyas,Georgetown,76,110.1837,100.1166,10.0671,0.750608,0.732004,0.007439,-2.6887
2020,East Tennessee St.,East Tennessee St.,77,107.1236,97.3434,9.7802,0.750446,0.424475,0.135289,2.487
2020,North Carolina Tar Heels,North Carolina,78,108.1707,98.3295,9.8412,0.749688,0.729049,-0.056627,-4.9944
2020,Liberty Flames,Liberty,79,105.6243,96.0258,9.5985,0.749439,0.296454,0.035197,-0.3435
